Name,Price,Have,Limit,Discount,Traded
'Blueberries' Buckshot | NSWC SEAL,113,38,184,104,0
'The Doctor' Romanov | Sabre,307,202,231,104,0
'Two Times' McCoy | TACP Cavalry,85,48,150,103,0
'Two Times' McCoy | USAF TACP,100,29,139,106,0
1st Lieutenant Farlow | SWAT,196,34,300,104,0
2020 RMR Challengers,110,161,300,106,0
2020 RMR Contenders,111,276,300,107,0
2020 RMR Legends,110,245,300,106,0
3rd Commando Company | KSK,241,35,150,108,0
Aces High Pin,1162,6,38,103,0
AK-47 | Aquamarine Revenge (Battle-Scarred),2388,4,48,112,0
AK-47 | Aquamarine Revenge (Factory New),7944,2,35,113,1
AK-47 | Aquamarine Revenge (Field-Tested),3736,11,77,111,0
AK-47 | Aquamarine Revenge (Minimal Wear),5483,3,33,112,0
AK-47 | Aquamarine Revenge (Well-Worn),2995,7,59,111,0
AK-47 | Asiimov (Battle-Scarred),3273,9,66,113,0
AK-47 | Asiimov (Factory New),18006,1,16,112,0
AK-47 | Asiimov (Field-Tested),4142,46,262,113,9
AK-47 | Asiimov (Minimal Wear),6356,14,296,112,1
AK-47 | Asiimov (Well-Worn),4455,1,20,114,0
AK-47 | Baroque Purple (Battle-Scarred),279,8,48,107,0
AK-47 | Baroque Purple (Factory New),1074,3,29,106,0
AK-47 | Baroque Purple (Field-Tested),322,27,150,112,0
AK-47 | Baroque Purple (Minimal Wear),543,9,61,113,0
AK-47 | Baroque Purple (Well-Worn),293,12,84,111,0
AK-47 | Black Laminate (Battle-Scarred),2245,0,4,100,0
AK-47 | Black Laminate (Factory New),10760,0,2,97,0
AK-47 | Black Laminate (Field-Tested),2374,1,14,109,0
AK-47 | Black Laminate (Minimal Wear),2690,0,8,104,0
AK-47 | Black Laminate (Well-Worn),2275,0,3,98,0
AK-47 | Bloodsport (Factory New),8445,3,186,112,0
AK-47 | Bloodsport (Field-Tested),6490,16,301,111,4
AK-47 | Bloodsport (Minimal Wear),7280,18,215,111,3
AK-47 | Bloodsport (Well-Worn),6397,6,55,111,1
AK-47 | Blue Laminate (Factory New),1221,13,100,113,0
AK-47 | Blue Laminate (Field-Tested),919,18,78,112,0
AK-47 | Blue Laminate (Minimal Wear),984,15,63,111,0
AK-47 | Blue Laminate (Well-Worn),1276,0,7,98,0
AK-47 | Cartel (Battle-Scarred),867,3,13,102,0
AK-47 | Cartel (Factory New),1762,3,33,107,0
AK-47 | Cartel (Field-Tested),899,17,79,110,0
AK-47 | Cartel (Minimal Wear),1153,9,106,111,0
AK-47 | Cartel (Well-Worn),1017,1,10,99,0
AK-47 | Case Hardened (Battle-Scarred),9038,1,32,111,0
AK-47 | Case Hardened (Factory New),20563,4,12,106,3
AK-47 | Case Hardened (Field-Tested),11982,9,56,113,1
AK-47 | Case Hardened (Minimal Wear),14617,1,42,116,0
AK-47 | Case Hardened (Well-Worn),10010,2,39,112,0
AK-47 | Elite Build (Battle-Scarred),178,26,290,107,0
AK-47 | Elite Build (Factory New),900,4,38,111,1
AK-47 | Elite Build (Field-Tested),266,69,300,111,0
AK-47 | Elite Build (Minimal Wear),391,35,300,112,0
AK-47 | Elite Build (Well-Worn),197,57,300,106,0
AK-47 | Emerald Pinstripe (Battle-Scarred),505,12,61,111,0
AK-47 | Emerald Pinstripe (Factory New),1334,1,52,103,0
AK-47 | Emerald Pinstripe (Field-Tested),572,25,118,111,1
AK-47 | Emerald Pinstripe (Minimal Wear),851,4,59,111,0
AK-47 | Emerald Pinstripe (Well-Worn),504,22,86,110,0
AK-47 | Fire Serpent (Battle-Scarred),39786,0,5,110,0
AK-47 | Fire Serpent (Field-Tested),64892,1,22,108,0
AK-47 | Fire Serpent (Minimal Wear),81818,0,3,105,0
AK-47 | Fire Serpent (Well-Worn),48324,0,2,94,0
AK-47 | First Class (Battle-Scarred),3078,0,2,100,0
AK-47 | First Class (Factory New),5809,0,4,105,0
AK-47 | First Class (Field-Tested),3543,0,2,100,0
AK-47 | First Class (Minimal Wear),4861,0,2,100,0
AK-47 | First Class (Well-Worn),3184,0,2,100,0
AK-47 | Frontside Misty (Battle-Scarred),1780,6,96,114,0
AK-47 | Frontside Misty (Factory New),6234,1,32,116,0
AK-47 | Frontside Misty (Field-Tested),2262,57,344,112,4
AK-47 | Frontside Misty (Minimal Wear),3358,7,80,113,2
AK-47 | Frontside Misty (Well-Worn),2207,6,70,111,0
AK-47 | Fuel Injector (Battle-Scarred),6081,4,47,111,0
AK-47 | Fuel Injector (Factory New),22550,0,7,105,0
AK-47 | Fuel Injector (Field-Tested),9430,4,65,113,0
AK-47 | Fuel Injector (Minimal Wear),13598,3,31,108,0
